appid,name,playtime_2weeks,playtime_forever,img_icon_url,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,created_time
3419430,Bongo Cat,1605,7528,b25d4b846c745bdf809f5657af00298e0ae62465,7528,0,0,0,2025-10-22 01:01:49.036315+08:00
3783770,Shadow of the Road Demo,75,75,6ceffcb1b383e802d3782c6337aa05dd08ae3af6,75,0,0,0,2025-10-22 01:01:49.036315+08:00
3844400,SpongeBob SquarePants: Titans of the Tide Demo,58,58,768c0e9ca8162891d0fead8d7a28fb2f9b0d2658,58,0,0,0,2025-10-22 01:01:49.036315+08:00
3167020,Escape from Duckov,58,58,5bb8d31708442a8f3ddbc100d7be7c3fde530d18,58,0,0,0,2025-10-22 01:01:49.036315+08:00
4023520,Below the Crown Demo,55,55,5ee79d34104dd881d4368222773c050fdab1626a,55,0,0,0,2025-10-22 01:01:49.036315+08:00
2162560,Enter the Chronosphere Demo,54,54,bf1f9382dfad568e1d21c12f46b618531af5d98e,54,0,0,0,2025-10-22 01:01:49.036315+08:00
3344980,Philna Fantasy Demo,53,53,3bb6baa04c45fc9cc6f7a4bc8aac75944e8b9c18,53,0,0,0,2025-10-22 01:01:49.036315+08:00
3833670,Wizard Cats Demo,37,37,99956926d0550b6c6cb64248983c456548f15cf6,37,0,0,0,2025-10-22 01:01:49.036315+08:00
3859960,Goblin Vyke Demo,35,35,df4c0d56c8683839fe50fc888076a988db228920,35,0,0,0,2025-10-22 01:01:49.036315+08:00
2985630,Revelation of Decay Demo,23,23,c4489a62ba62fd7c178ec79b966a86c855e768e8,23,0,0,0,2025-10-22 01:01:49.036315+08:00
3803790,Rhythm Hotel Demo,14,14,f5ec06c9047ee733bec167156054f5045c1ce481,14,0,0,0,2025-10-22 01:01:49.036315+08:00
3978190,Creator Chronicles Demo,13,13,8f8dc2db4c59028cc91e623711de71e20c3b787f,13,0,0,0,2025-10-22 01:01:49.036315+08:00
3649620,轮盘英雄 Demo,12,12,bcf01fcc97731225201fc50b903443f794278169,12,0,0,0,2025-10-22 01:01:49.036315+08:00
4059560,Tingus Goose Demo,5,5,17f3f6394a8c3d93fab74bc3de6d698be880de0a,5,0,0,0,2025-10-22 01:01:49.036315+08:00
3132890,Into The Grid Demo,3,3,5c3a1415295a237810c6315ab0cc0e7e2fe3bb22,3,0,0,0,2025-10-22 01:01:49.036315+08:00
